name,symptome
"Rosskastanie, Rosskastaniensamen (Aesculus hippocastanum)","Anwendungsgebiete: Venenerkrankungen wie und , Schmerzen und Schweregefühl in den Beinen, nächtliche Wadenkrämpfe, und Schwellungen im Bereich von oberflächennahen Venen, , Muskel- und Gelenkschmerzen."
Rosmarin (Rosmarinus officinalis),"Anwendungsgebiete: Verbesserung der Leber- und Gallenfunktion, Verdauungsbeschwerden wie Blähungen oder Völlegefühl, Appetitlosigkeit, , äußerlich bei Muskelverspannungen, unterstützende Therapie bei rheumatischen Erkrankungen und Kreislaufbeschwerden."
Ringelblume (Calendula officinalis),"Anwendungsgebiete: Förderung der Wundheilung bei Hautverletzungen, Karbunkeln, Abszessen, Stauchungen, Prellungen, Dekubitus (Wundgeschwüren), Zerrungen (alle äußerliche Anwendung); leichte krampfbedingte Magen-Darm-Beschwerden oder Menstruationsbeschwerden (innere Anwendung)."
Quecke (Elymus repens),"Anwendungsgebiete: unterstützende Behandlung im Rahmen einer Durchspülungstherapie bei Harnwegsinfekten, Nierensteinen oder Nierengries."
Pfefferminze (Mentha piperita),"Anwendungsgebiete: Magen-Darm-Beschwerden wie Völlegefühl, Blähungen oder Übelkeit; Reizdarmsyndrom; ; Erkältungen; Husten; Schnupfen."
Passionsblume (Passiflora incarnata),"Anwendungsgebiete: Angst, Unruhe, Nervosität, Reizbarkeit, Schlafstörungen."
Pelargonium (Umckaloabo sidoides),"Anwendungsgebiet: Erkältungen mit Husten oder Hustenreiz, akute Bronchitis."
Odermennig (Agrimonia eupatoria),"Anwendungsgebiet: leichter Durchfall, Juckreiz bei Hauterkrankungen, Zahnfleischbluten, Rachenschleimhautentzündung, Hämorrhoiden, möglicherweise Harnwegserkrankungen."
"Nelke, Gewürznelke (Syzygium aromaticum)","Anwendungsgebiete: Zahnschmerzen, Entzündungen des Mund-Rachen-Raumes, Verdauungsbeschwerden wie Völlegefühl und Blähungen."
Nachtkerze (Oenothera biennis),"Anwendungsgebiete: Linderung der Symptome bei Neurodermitis, Ekzemen und trockener Haut (innerlich und äußerlich), innerlich bei durch Zuckerkrankheit ( ) bedingten Nervenschäden und spannungsbedingten Brustbeschwerden bei Frauen; möglicherweise entzündliche rheumatische Erkrankungen (innerlich und äußerlich) und , kurz PMS (innerlich)"
Mutterkraut (Tanacetum parthenium),"Anwendungsgebiete: Vorbeugung von Migräne-Anfällen, Menstruationsbeschwerden, starke oder unregelmäßige Monatsblutungen, , leichte oberflächliche Verletzungen."
Malve (Malva sylvestris),"Anwendungsgebiete: Reizhusten, reizbedingte und entzündliche Erkrankungen in Mund, Rachen, Hals, Magen und Darm; leichter ."
Mönchspfeffer (Vitex agnus-castus),"Anwendungsgebiete: , , Wechseljahresbeschwerden, prämenstruelles Syndrom, unerfüllter Kinderwunsch"
Melisse (Melissa officinalis),"Anwendungsgebiete: Magen-Darm-Beschwerden, Einschlafschwierigkeiten, nervöse Unruhe, leichte nervöse Herzbeschwerden, Erkältungskrankheiten, Herpes."
Mistel (Viscum album),"Anwendungsgebiete: Misteltherapie als begleitende Behandlung bei Krebserkrankungen und zur Linderung der Nebenwirkungen von Strahlen- oder Chemotherapie, Reiztherapie bei abnutzungsbedingten rheumatischen Gelenkerkrankungen (als Injektion in oder unter die Haut), Unterstützung bei alterungsbedingter Herz- und Kreislaufschwäche (als Einnahme in Form von Tropfen oder Tee)."
Mariendistel (Silybum marianum),"Anwendungsgebiete: Vorbeugung und unterstützende Behandlung von Lebererkrankungen, Lebervergiftungen durch Knollenblätterpilz, Verdauungsbeschwerden wie Völlegefühl und Blähungen, Appetitlosigkeit."
Löwenzahn (Taraxacum officinale),"Anwendungsgebiete: Verdauungsbeschwerden wie Völlegefühl oder Blähungen, Appetitlosigkeit, unterstützende Behandlung von Harnwegsinfekten"
"Linde, Lindenblüte (Tilia flos)","Anwendungsgebiet: Erkältungen mit Husten oder Hustenreiz, Halsschmerzen."
Koriander (Coriandrum sativum),"Anwendungsgebiete:Magen-Darm-Beschwerden wie krampfbedingte Magenschmerzen, , Völlegefühl, Appetitlosigkeit, Mundgeruch (Koriandersamen), zur Unterstützung der Behandlung von und Reizmagen"
Lavendel (Lavandula angustifolia),"Anwendungsgebiete: Einschlafstörungen, nervöse , ängstliche Verstimmung, depressive Verstimmung, nervös bedingte Magen-Darm-Beschwerden wie Reizmagen, Krämpfe und Blähungen, Gallenbeschwerden, äußerliche Anwendung als Einreibung bei rheumatischen Beschwerden."
Leinsamen (Linum usitatissimum),"Anwendungsgebiete: Verstopfung,"
"Kürbis, Kürbissamen (Cucurbita)","Anwendungsgebiet:Beschwerden beim Wasserlassen oder Wasserhalten infolge einer gutartigen Prostatavergrößerung, Besserung der Beschwerden bei Reizblase"
Kümmel (Carum carvi),"Anwendungsgebiete:Verdauungsbeschwerden wie Blähungen oder Völlegefühl, krampfbedingte Magen-Darmbeschwerden, nervöse Herz-Magen-Beschwerden, Verdauungsbeschwerden bei Säuglingen, Anregung des Milchflusses, ."
Kurkuma (Curcuma longa),"Anwendungsgebiete: Verdauungsbeschwerden wie und Völlegefühl nach fettreichen Mahlzeiten, möglicherweise unterstützende Therapie bei bestimmten Krebserkrankungen und zur Verlangsamung von Alzheimer-Demenz."
"Königskerze, Königskerzenblüten (Verbascum densiflorum)","Anwendungsgebiete: unterstützende Behandlung bei Infektionen der oberen Atemwege, Bronchitis."
Kamille (Chamomilla),"Zugelassene Anwendungsgebiete: Krämpfe und entzündliche Erkrankungen im Magen-Darm-Trakt, Haut- und Schleimhautentzündungen, ."
Knoblauch (Allium sativum),"Anwendungsgebiete: Unterstützung von diätetischen Maßnahmen bei Erhöhung der Blutfettwerte, Vorbeugung von Gefäßverkalkung (Arteriosklerose)"
Isländisch Moos (Certraria islandica),"Anwendungsgebiet: Halsschmerzen, Reizhusten und als Magenmittel bewährt. Ihre beruhigende und reizmindernde Wirkung beruht auf Schleimstoffen. "
Hopfen (Humulus lupulus),"Anwendungsgebiete: Einschlafstörungen, , , Appetitlosigkeit, Verdauungsbeschwerden, Wechseljahresbeschwerden, Regelbeschwerden."
Kampfer (Cinnamomum camphora),"Anwendungsgebiete: Erkrankungen des rheumatischen Formenkreises, Muskelverspannungen, Herzbeschwerden, , Bronchitis, Entzündungen der oberen Atemwege"
Ingwer (Zingiber officinale),"Anwendungsgebiete: Reisekrankheit, Seekrankheit, , nervöse , nervös bedingte Magen-Darm-Beschwerden wie Krämpfe und , Appetitlosigkeit, Gallenbeschwerden, äußerliche Anwendung als Einreibung bei rheumatischen Beschwerden."
Holunder (Sambucus nigra),"Anwendungsgebiete: Symptomlinderung bei Erkältungen und , Stärkung der Immunabwehr"
Johanniskraut (Hypericum perforatum),"Zugelassene Anwendungsgebiete: leichte und mittelschwere vorübergehende depressive Störungen, depressive Verstimmungszustände, und/oder nervöse Unruhe, leichte , Muskelschmerzen (äußerliche Anwendung von öligen Johanniskraut-Zubereitungen)."
"Heidelbeere, Blaubeere (Vaccinium myrtillus)","Anwendungsgebiete: Durchfall, Entzündungen und Verletzungen der Mund- und Rachenschleimhaut."
"Hirtentäschel, Hirtentäschelkraut (Capsella bursa-pastoris)","Anwendungsgebiete: innerlich bei starken oder unregelmäßigen Monatsblutungen, äußerlich bei Nasenbluten und leichten oberflächlichen Verletzungen."
Hauhechel (Ononis spinosa),"Anwendungsgebiet: Behandlung von Harnwegsinfekten, Nierensteinen oder Nierengries sinnvoll begleiten kann. Eine vergrößerte Harnmenge trägt dazu bei, Krankheitserreger, Nierensteine oder Nierengries über die ableitenden Harnwege auszuschwemmen."
Ginseng (Panax ginseng),"Anwendungsgebiete: Müdigkeit, stressbedingt nachlassende körperliche oder geistige Leistungsfähigkeit, Immunstärkung, Rekonvaleszenzunterstützung."
Artischocke (Cynara scolymus),"Anwendungsgebiete: Magen-Darm-Beschwerden wie Völlegefühl, Blähungen, Übelkeit oder krampfartige Oberbauchschmerzen; gestörte Fettverdauung infolge von Gallengangsstörungen."
"Goldrute, Echte Goldrute (Solidago virgaurea)","Anwendungsgebiete: Vorbeugung und unterstützende Behandlung von Harnwegsinfekten, Verbesserung der Nierentätigkeit, Ableitung und Vorbeugung von Harnsteinen, unterstützende Behandlung von Gelenkschmerzen bei rheumatischen Erkrankungen und ."
"Bärentraube, Bärentraubenblätter (Arctostaphylus uva-ursi)","Anwendungsgebiet: Behandlung von Infektionen der ableitenden Harnwege, wenn der Einsatz von Antibiotika nicht notwendig erscheint."
Baldrian (Valeriana officinalis),"Anwendungsgebiet: sind Unruhezustände (bei Stress oder Prüfungsangst beispielsweise), nervös bedingte Einschlafstörungen sowie nervös bedingte krampfartige Schmerzen im Magen-und Darm-Bereich."
Ginkgo (Ginkgo biloba),Zugelassene Anwendungsgebiete: begleitende Behandlung zur Symptomlinderung bei hirnorganischen Leistungsstörungen wie dem demenziellen Syndrom; Verlängerung der schmerzfreien Gehstrecke bei pAVK; Schwindel; Tinnitus.
Augentrost (Euphrasia rostkovina),Anwendungsgebiet: trockene Augen.
Aloe vera,"Anwendungsgebiete: kosmetische und therapeutische Hautpflege bei Erkrankungen wie Neurodermitis oder Schuppenflechte, Verstopfung (Obstipation)."
Arnika (Arnica montana),"Anwendungsgebiete: Förderung der Wundheilung bei Hautverletzungen (Salben);  Prellungen, Stauchungen, Zerrungen; Schmerzlinderung bei Muskel- und Gelenkbeschwerden (Tinkturen)."
Ackerschachtelhalm (Equisetum arvense),"Anwendungsgebiete: Durchspülungstherapie zur unterstützenden Behandlung von Harnwegsinfektionen, Ausspülen von Nierengries oder Nierensteinen."
Anis (Pimpinella anisum),"Anwendungsgebiete: , vor allem festsitzender Husten, Nasennebenhöhlenentzündungen; Verdauungsbeschwerden wie Blähungen, Koliken und krampfbedingte Bauchschmerzen."
